add_remove_every_n_epoch,proto_split_density_threshold,proto_remove_density_threshold,repulsion_loss_margin,seed,device,cov_value,PINAW_value
50,0.001,0.0001,0.001,7,cuda:3,0.48923,0.10051
50,0.001,0.0001,0.001,7,cuda:3,0.10000,0.05246
50,0.001,0.0001,0.001,8,cuda:0,0.90308,0.56465
50,0.001,0.0001,0.001,8,cuda:0,0.51692,0.24005
50,0.001,0.0001,0.001,8,cuda:0,0.08462,0.01072
50,0.001,0.0001,0.001,9,cuda:1,0.92000,0.62807
50,0.001,0.0001,0.001,9,cuda:1,0.54000,0.24762
50,0.001,0.0001,0.001,9,cuda:1,0.09692,0.02579
50,0.001,0.0001,0.0001,0,cuda:2,0.90462,0.81827
50,0.001,0.0001,0.0001,0,cuda:2,0.51692,0.17850
50,0.001,0.0001,0.0001,0,cuda:2,0.12462,0.08972
50,0.001,0.0001,0.0001,1,cuda:3,0.89692,0.64800
50,0.001,0.0001,0.0001,1,cuda:3,0.46923,0.24922
50,0.001,0.0001,0.0001,1,cuda:3,0.12462,0.01532
50,0.001,0.0001,0.0001,3,cuda:1,0.90769,0.40995
50,0.001,0.0001,0.0001,3,cuda:1,0.51231,0.14794
50,0.001,0.0001,0.0001,3,cuda:1,0.10769,0.03095
50,0.001,0.0001,0.0001,2,cuda:0,0.92154,0.59419
50,0.001,0.0001,0.0001,2,cuda:0,0.54308,0.09809
50,0.001,0.0001,0.0001,2,cuda:0,0.15077,0.01696
50,0.001,0.0001,0.0001,5,cuda:3,0.89077,0.33027
50,0.001,0.0001,0.0001,5,cuda:3,0.54615,0.13860
50,0.001,0.0001,0.0001,5,cuda:3,0.12615,0.02956
50,0.001,0.0001,0.0001,4,cuda:2,0.86769,0.36301
50,0.001,0.0001,0.0001,4,cuda:2,0.50000,0.14263
50,0.001,0.0001,0.0001,4,cuda:2,0.09231,0.02919
50,0.001,0.0001,0.0001,6,cuda:0,0.89077,0.45208
50,0.001,0.0001,0.0001,6,cuda:0,0.50000,0.10334
50,0.001,0.0001,0.0001,6,cuda:0,0.09385,0.01925
50,0.001,0.0001,0.0001,7,cuda:1,0.90923,0.17156
50,0.001,0.0001,0.0001,7,cuda:1,0.50154,0.02062
50,0.001,0.0001,0.0001,7,cuda:1,0.09385,0.00628
50,0.001,0.0001,0.0001,9,cuda:3,0.91538,0.62308
50,0.001,0.0001,0.0001,9,cuda:3,0.53077,0.25000
50,0.001,0.0001,0.0001,9,cuda:3,0.10462,0.02524
50,0.001,0.0001,0.0001,8,cuda:2,0.90154,0.61560
50,0.001,0.0001,0.0001,8,cuda:2,0.52154,0.28419
50,0.001,0.0001,0.0001,8,cuda:2,0.10462,0.03375
50,0.001,0.0002,0.01,3,cuda:3,0.90308,0.69955
50,0.001,0.0002,0.01,3,cuda:3,0.52615,0.03797
50,0.001,0.0002,0.01,3,cuda:3,0.09538,0.00793
50,0.001,0.0002,0.01,0,cuda:0,0.90923,0.59435
50,0.001,0.0002,0.01,0,cuda:0,0.51231,0.07521
50,0.001,0.0002,0.01,0,cuda:0,0.11385,0.00874
50,0.001,0.0002,0.01,1,cuda:1,0.88000,1.08304
50,0.001,0.0002,0.01,1,cuda:1,0.47385,0.36524
50,0.001,0.0002,0.01,1,cuda:1,0.13077,0.03147
50,0.001,0.0002,0.01,4,cuda:0,0.87077,0.49940
50,0.001,0.0002,0.01,4,cuda:0,0.46000,0.03482
50,0.001,0.0002,0.01,4,cuda:0,0.07846,0.00731
50,0.001,0.0002,0.01,2,cuda:2,0.91846,0.71452
50,0.001,0.0002,0.01,2,cuda:2,0.54615,0.16196
50,0.001,0.0002,0.01,2,cuda:2,0.13385,0.02024
50,0.001,0.0002,0.01,5,cuda:1,0.88462,0.34293
50,0.001,0.0002,0.01,5,cuda:1,0.50615,0.03152
50,0.001,0.0002,0.01,5,cuda:1,0.10615,0.00550
50,0.001,0.0002,0.01,6,cuda:2,0.88615,0.47713
50,0.001,0.0002,0.01,6,cuda:2,0.51692,0.06698
50,0.001,0.0002,0.01,6,cuda:2,0.10308,0.00795
50,0.001,0.0002,0.01,7,cuda:3,0.90154,0.59335
50,0.001,0.0002,0.01,7,cuda:3,0.50154,0.07005
50,0.001,0.0002,0.01,7,cuda:3,0.08154,0.02208
50,0.001,0.0002,0.01,8,cuda:0,0.91538,0.82393
50,0.001,0.0002,0.01,8,cuda:0,0.51846,0.14414
50,0.001,0.0002,0.01,8,cuda:0,0.14154,0.02798
50,0.001,0.0002,0.01,9,cuda:1,0.92769,0.87811
50,0.001,0.0002,0.01,9,cuda:1,0.50462,0.21323
50,0.001,0.0002,0.01,9,cuda:1,0.07692,0.00690
50,0.001,0.0002,0.002,0,cuda:2,0.90308,0.63832
50,0.001,0.0002,0.002,0,cuda:2,0.50154,0.11573
50,0.001,0.0002,0.002,0,cuda:2,0.11385,0.00944
50,0.001,0.0002,0.002,3,cuda:1,0.89846,0.27081
50,0.001,0.0002,0.002,3,cuda:1,0.48923,0.03512
50,0.001,0.0002,0.002,3,cuda:1,0.10154,0.00930
50,0.001,0.0002,0.002,2,cuda:0,0.92462,0.72259
50,0.001,0.0002,0.002,2,cuda:0,0.51692,0.14067
50,0.001,0.0002,0.002,2,cuda:0,0.12154,0.02934
50,0.001,0.0002,0.002,1,cuda:3,0.87385,0.91303
50,0.001,0.0002,0.002,1,cuda:3,0.42923,0.27094
50,0.001,0.0002,0.002,1,cuda:3,0.09846,0.14947
50,0.001,0.0002,0.002,4,cuda:2,0.87077,0.49123
50,0.001,0.0002,0.002,4,cuda:2,0.49846,0.06870
50,0.001,0.0002,0.002,4,cuda:2,0.11231,0.01453
50,0.001,0.0002,0.002,5,cuda:3,0.88154,0.42752
50,0.001,0.0002,0.002,5,cuda:3,0.51692,0.05809
50,0.001,0.0002,0.002,5,cuda:3,0.09846,0.01538
50,0.001,0.0002,0.002,6,cuda:0,0.88462,0.62149
50,0.001,0.0002,0.002,6,cuda:0,0.51692,0.12823
50,0.001,0.0002,0.002,6,cuda:0,0.10923,0.01361
50,0.001,0.0002,0.002,8,cuda:2,0.90462,0.75849
50,0.001,0.0002,0.002,8,cuda:2,0.53231,0.22613
50,0.001,0.0002,0.002,8,cuda:2,0.11077,0.01793
50,0.001,0.0002,0.002,9,cuda:3,0.92769,0.67320
50,0.001,0.0002,0.002,9,cuda:3,0.52154,0.12791
50,0.001,0.0002,0.002,9,cuda:3,0.10154,0.00953
50,0.001,0.0002,0.001,1,cuda:1,0.87077,0.77904
50,0.001,0.0002,0.001,1,cuda:1,0.45692,0.25491
50,0.001,0.0002,0.001,1,cuda:1,0.12923,0.07820
50,0.001,0.0002,0.002,7,cuda:1,0.89538,0.61206
50,0.001,0.0002,0.002,7,cuda:1,0.47692,0.07339
50,0.001,0.0002,0.002,7,cuda:1,0.09077,0.02352
50,0.001,0.0002,0.001,2,cuda:2,0.92154,0.70590
50,0.001,0.0002,0.001,2,cuda:2,0.52000,0.14136
50,0.001,0.0002,0.001,2,cuda:2,0.12000,0.03476
50,0.001,0.0002,0.001,0,cuda:0,0.91077,0.56650
50,0.001,0.0002,0.001,0,cuda:0,0.48923,0.08347
50,0.001,0.0002,0.001,0,cuda:0,0.10769,0.00450
50,0.001,0.0002,0.001,3,cuda:3,0.89692,0.33172
50,0.001,0.0002,0.001,3,cuda:3,0.50615,0.03716
50,0.001,0.0002,0.001,3,cuda:3,0.09846,0.01007
50,0.001,0.0002,0.001,4,cuda:0,0.86615,0.52504
50,0.001,0.0002,0.001,4,cuda:0,0.47846,0.06582
50,0.001,0.0002,0.001,4,cuda:0,0.09846,0.01685
50,0.001,0.0002,0.001,5,cuda:1,0.88000,0.41125
50,0.001,0.0002,0.001,5,cuda:1,0.55385,0.06061
50,0.001,0.0002,0.001,5,cuda:1,0.11385,0.00654
50,0.001,0.0002,0.001,7,cuda:3,0.89846,0.42490
50,0.001,0.0002,0.001,7,cuda:3,0.49077,0.04316
50,0.001,0.0002,0.001,7,cuda:3,0.08000,0.01269
50,0.001,0.0002,0.001,9,cuda:1,0.92923,0.68035
50,0.001,0.0002,0.001,9,cuda:1,0.52615,0.14736
50,0.001,0.0002,0.001,9,cuda:1,0.10462,0.00984
50,0.001,0.0002,0.001,8,cuda:0,0.91231,0.70699
50,0.001,0.0002,0.001,8,cuda:0,0.51538,0.23694
50,0.001,0.0002,0.001,8,cuda:0,0.07846,0.01277
50,0.001,0.0002,0.0001,0,cuda:2,0.90308,0.67473
50,0.001,0.0002,0.0001,0,cuda:2,0.52154,0.16513
50,0.001,0.0002,0.0001,0,cuda:2,0.09846,0.01030
50,0.001,0.0002,0.001,6,cuda:2,0.88923,0.59186
50,0.001,0.0002,0.001,6,cuda:2,0.50462,0.10459
50,0.001,0.0002,0.001,6,cuda:2,0.09692,0.01022
50,0.001,0.0002,0.0001,1,cuda:3,0.88308,0.75692
50,0.001,0.0002,0.0001,1,cuda:3,0.47385,0.26921
50,0.001,0.0002,0.0001,1,cuda:3,0.12615,0.03422
50,0.001,0.0002,0.0001,2,cuda:0,0.90923,0.52328
50,0.001,0.0002,0.0001,2,cuda:0,0.52462,0.11086
50,0.001,0.0002,0.0001,2,cuda:0,0.09538,0.00457
50,0.001,0.0002,0.0001,3,cuda:1,0.88923,0.30708
50,0.001,0.0002,0.0001,3,cuda:1,0.50615,0.03730
50,0.001,0.0002,0.0001,3,cuda:1,0.10308,0.01054
50,0.001,0.0002,0.0001,5,cuda:3,0.88308,0.62227
50,0.001,0.0002,0.0001,5,cuda:3,0.46923,0.08991
50,0.001,0.0002,0.0001,5,cuda:3,0.10308,0.01609
50,0.001,0.0002,0.0001,4,cuda:2,0.86462,0.41634
50,0.001,0.0002,0.0001,4,cuda:2,0.48769,0.05663
50,0.001,0.0002,0.0001,4,cuda:2,0.09385,0.01573
50,0.001,0.0002,0.0001,7,cuda:1,0.90000,0.41725
50,0.001,0.0002,0.0001,7,cuda:1,0.46923,0.04380
50,0.001,0.0002,0.0001,7,cuda:1,0.08154,0.01327
50,0.001,0.0002,0.0001,6,cuda:0,0.87846,0.66040
50,0.001,0.0002,0.0001,6,cuda:0,0.48923,0.16467
50,0.001,0.0002,0.0001,6,cuda:0,0.08308,0.00830
50,0.001,0.0002,0.0001,8,cuda:2,0.91385,0.67742
50,0.001,0.0002,0.0001,8,cuda:2,0.50615,0.19991
50,0.001,0.0002,0.0001,8,cuda:2,0.11538,0.01858
50,0.001,0.0002,0.0001,9,cuda:3,0.92923,0.69869
50,0.001,0.0002,0.0001,9,cuda:3,0.51846,0.12604
50,0.001,0.0002,0.0001,9,cuda:3,0.10308,0.01010
50,0.001,0.001,0.01,0,cuda:0,0.90923,0.71096
50,0.001,0.001,0.01,0,cuda:0,0.49846,0.16918
50,0.001,0.001,0.01,0,cuda:0,0.11077,0.00788
50,0.001,0.001,0.01,1,cuda:1,0.89231,0.36941
50,0.001,0.001,0.01,1,cuda:1,0.50154,0.08639
50,0.001,0.001,0.01,1,cuda:1,0.10769,0.03780
50,0.001,0.001,0.01,4,cuda:0,0.89846,0.84868
50,0.001,0.001,0.01,4,cuda:0,0.51077,0.26985
50,0.001,0.001,0.01,4,cuda:0,0.12154,0.13595
50,0.001,0.001,0.01,2,cuda:2,0.90000,0.68645
50,0.001,0.001,0.01,2,cuda:2,0.54462,0.18016
50,0.001,0.001,0.01,2,cuda:2,0.13231,0.01228
50,0.001,0.001,0.01,6,cuda:2,0.89231,1.02748
50,0.001,0.001,0.01,6,cuda:2,0.50308,0.31549
50,0.001,0.001,0.01,6,cuda:2,0.09846,0.05671
50,0.001,0.001,0.01,3,cuda:3,0.90154,0.82881
50,0.001,0.001,0.01,3,cuda:3,0.48154,0.23849
50,0.001,0.001,0.01,3,cuda:3,0.08308,0.13145
50,0.001,0.001,0.01,5,cuda:1,0.88923,0.75281
50,0.001,0.001,0.01,5,cuda:1,0.52769,0.16207
50,0.001,0.001,0.01,5,cuda:1,0.12000,0.04964
50,0.001,0.001,0.01,7,cuda:3,0.88308,0.72464
50,0.001,0.001,0.01,7,cuda:3,0.48000,0.25779
50,0.001,0.001,0.01,7,cuda:3,0.08154,0.11909
50,0.001,0.001,0.01,9,cuda:1,0.92462,0.57678
50,0.001,0.001,0.01,9,cuda:1,0.55692,0.13694
50,0.001,0.001,0.01,9,cuda:1,0.11077,0.05227
50,0.001,0.001,0.01,8,cuda:0,0.90923,0.71128
50,0.001,0.001,0.01,8,cuda:0,0.49231,0.19190
50,0.001,0.001,0.01,8,cuda:0,0.13692,0.05442
50,0.001,0.001,0.002,1,cuda:3,0.88615,0.43828
50,0.001,0.001,0.002,1,cuda:3,0.44308,0.08424
50,0.001,0.001,0.002,1,cuda:3,0.08923,0.02182
50,0.001,0.001,0.002,0,cuda:2,0.91846,0.71266
50,0.001,0.001,0.002,0,cuda:2,0.52462,0.20362
50,0.001,0.001,0.002,0,cuda:2,0.11538,0.08476
50,0.001,0.001,0.002,2,cuda:0,0.91538,0.57187
50,0.001,0.001,0.002,2,cuda:0,0.51538,0.15903
50,0.001,0.001,0.002,2,cuda:0,0.13385,0.02335
50,0.001,0.001,0.002,4,cuda:2,0.89692,0.71335
50,0.001,0.001,0.002,4,cuda:2,0.48615,0.19208
50,0.001,0.001,0.002,4,cuda:2,0.10769,0.02192
50,0.001,0.001,0.002,5,cuda:3,0.90000,0.67384
50,0.001,0.001,0.002,5,cuda:3,0.54615,0.20063
50,0.001,0.001,0.002,5,cuda:3,0.12462,0.02174
50,0.001,0.001,0.002,3,cuda:1,0.88615,0.63003
50,0.001,0.001,0.002,3,cuda:1,0.46615,0.15387
50,0.001,0.001,0.002,3,cuda:1,0.09692,0.01252
50,0.001,0.001,0.002,7,cuda:1,0.88154,0.63513
50,0.001,0.001,0.002,7,cuda:1,0.44154,0.14182
50,0.001,0.001,0.002,7,cuda:1,0.11231,0.01586
50,0.001,0.001,0.002,6,cuda:0,0.89385,0.89414
