add_remove_every_n_epoch,proto_split_density_threshold,proto_remove_density_threshold,repulsion_loss_margin,seed,device,cov_value,PINAW_value
50,0.001,0.0001,0.01,6,cuda:2,0.92269,2.14003
50,0.001,0.0001,0.01,6,cuda:2,0.49683,0.37113
50,0.001,0.0001,0.01,6,cuda:2,0.09316,0.03464
50,0.001,0.0001,0.01,4,cuda:0,0.87262,1.86911
50,0.001,0.0001,0.01,4,cuda:0,0.50697,0.37954
50,0.001,0.0001,0.01,4,cuda:0,0.09949,0.03299
50,0.001,0.0001,0.01,2,cuda:2,0.90304,2.21303
50,0.001,0.0001,0.01,2,cuda:2,0.51331,0.45088
50,0.001,0.0001,0.01,2,cuda:2,0.11027,0.04252
50,0.001,0.0001,0.01,1,cuda:1,0.89734,2.31803
50,0.001,0.0001,0.01,1,cuda:1,0.49747,0.47457
50,0.001,0.0001,0.01,1,cuda:1,0.09252,0.03840
50,0.001,0.0001,0.01,5,cuda:1,0.90494,2.01229
50,0.001,0.0001,0.01,5,cuda:1,0.52155,0.44754
50,0.001,0.0001,0.01,5,cuda:1,0.11343,0.03545
50,0.001,0.0001,0.01,3,cuda:3,0.90558,2.08141
50,0.001,0.0001,0.01,3,cuda:3,0.48226,0.37928
50,0.001,0.0001,0.01,3,cuda:3,0.10710,0.03779
50,0.001,0.0001,0.01,0,cuda:0,0.90748,1.93591
50,0.001,0.0001,0.01,0,cuda:0,0.53105,0.45779
50,0.001,0.0001,0.01,0,cuda:0,0.11724,0.03760
50,0.001,0.0001,0.01,7,cuda:3,0.89670,2.25262
50,0.001,0.0001,0.01,7,cuda:3,0.48733,0.42188
50,0.001,0.0001,0.01,7,cuda:3,0.09949,0.03166
50,0.001,0.0001,0.01,8,cuda:0,0.89861,2.11820
50,0.001,0.0001,0.01,8,cuda:0,0.51774,0.80124
50,0.001,0.0001,0.01,8,cuda:0,0.11660,0.05417
50,0.001,0.0001,0.002,3,cuda:1,0.89227,2.48153
50,0.001,0.0001,0.002,3,cuda:1,0.47592,0.30334
50,0.001,0.0001,0.002,3,cuda:1,0.10076,0.01167
50,0.001,0.0001,0.002,0,cuda:2,0.91445,2.49327
