add_remove_every_n_epoch,proto_split_density_threshold,proto_remove_density_threshold,repulsion_loss_margin,seed,device,cov_value,PINAW_value
50,0.001,0.0001,0.01,7,cuda:3,0.90038,3.11550
50,0.001,0.0001,0.01,7,cuda:3,0.50064,0.69714
50,0.001,0.0001,0.01,7,cuda:3,0.11367,0.04426
50,0.001,0.0001,0.01,4,cuda:0,0.91188,2.41810
50,0.001,0.0001,0.01,4,cuda:0,0.50255,0.49269
50,0.001,0.0001,0.01,4,cuda:0,0.10983,0.03846
50,0.001,0.0001,0.01,0,cuda:0,0.89911,2.65676
50,0.001,0.0001,0.01,0,cuda:0,0.51149,0.48925
50,0.001,0.0001,0.01,0,cuda:0,0.10728,0.04045
50,0.001,0.0001,0.01,1,cuda:1,0.90102,2.13102
50,0.001,0.0001,0.01,1,cuda:1,0.50511,0.52243
50,0.001,0.0001,0.01,1,cuda:1,0.11750,0.04611
50,0.001,0.0001,0.01,2,cuda:2,0.88761,2.50293
50,0.001,0.0001,0.01,2,cuda:2,0.48531,0.48661
50,0.001,0.0001,0.01,2,cuda:2,0.09323,0.04056
50,0.001,0.0001,0.01,5,cuda:1,0.90549,2.47413
50,0.001,0.0001,0.01,5,cuda:1,0.53001,0.54728
50,0.001,0.0001,0.01,5,cuda:1,0.10217,0.03317
50,0.001,0.0001,0.01,3,cuda:3,0.88186,2.69590
50,0.001,0.0001,0.01,3,cuda:3,0.49425,0.60111
50,0.001,0.0001,0.01,3,cuda:3,0.09834,0.02883
50,0.001,0.0001,0.01,6,cuda:2,0.90421,2.17659
50,0.001,0.0001,0.01,6,cuda:2,0.49681,0.51359
50,0.001,0.0001,0.01,6,cuda:2,0.09642,0.03430
50,0.001,0.0001,0.01,8,cuda:0,0.91699,2.80215
50,0.001,0.0001,0.01,8,cuda:0,0.51596,0.53352
50,0.001,0.0001,0.01,8,cuda:0,0.10473,0.04123
50,0.001,0.0001,0.002,5,cuda:3,0.90166,2.36019
50,0.001,0.0001,0.002,5,cuda:3,0.52363,0.49460
50,0.001,0.0001,0.002,5,cuda:3,0.09387,0.01112
50,0.001,0.0001,0.002,0,cuda:2,0.89783,2.61333
50,0.001,0.0001,0.002,0,cuda:2,0.50064,0.43424
50,0.001,0.0001,0.002,0,cuda:2,0.10792,0.01591
50,0.001,0.0001,0.002,4,cuda:2,0.91315,2.39857
50,0.001,0.0001,0.002,4,cuda:2,0.50383,0.46151
50,0.001,0.0001,0.002,4,cuda:2,0.10792,0.01528
50,0.001,0.0001,0.002,1,cuda:3,0.89080,2.47681
50,0.001,0.0001,0.002,1,cuda:3,0.50702,0.45489
50,0.001,0.0001,0.002,1,cuda:3,0.12261,0.01407
50,0.001,0.0001,0.002,3,cuda:1,0.88059,2.41235
50,0.001,0.0001,0.002,3,cuda:1,0.50894,0.58228
50,0.001,0.0001,0.002,3,cuda:1,0.09642,0.01304
50,0.001,0.0001,0.002,2,cuda:0,0.89017,2.59062
50,0.001,0.0001,0.002,2,cuda:0,0.48276,0.42743
50,0.001,0.0001,0.002,2,cuda:0,0.08365,0.01264
50,0.001,0.0001,0.01,9,cuda:1,0.91379,2.50288
50,0.001,0.0001,0.01,9,cuda:1,0.50639,0.47545
50,0.001,0.0001,0.01,9,cuda:1,0.09962,0.03667
